R0_vals,k_vals,lq21_vals,median21_vals,uq21_vals,lq90_vals,median90_vals,uq90_vals,final_size,gen_time_vals
2.00600004196167,0.626060733641271,1.0,2.0,6.0,2.0,5.0,16.0,0.11529412120580673,15.138702392578125
1.73758864402771,0.7557790483275898,1.0,3.0,6.0,2.0,5.0,16.0,0.10843813419342041,15.139055252075195
1.7865169048309326,0.6348445215933669,1.0,2.0,6.0,2.0,5.0,17.0,0.1138133853673935,15.302267074584961
1.8861788511276245,0.4566596201776439,1.0,2.0,6.0,2.0,5.0,16.5,0.11006084829568863,14.909527778625488
1.7591623067855835,0.7535252933236984,1.0,2.0,6.0,2.0,5.0,16.0,0.11350912600755692,15.411744117736816
1.7912458181381226,0.6183702109129403,1.0,2.0,6.0,2.0,5.0,15.0,0.11590263992547989,15.340989112854004
1.8830645084381104,0.612683737900483,1.0,2.0,6.0,2.0,5.0,16.0,0.11018255352973938,15.136296272277832
1.9171483516693115,0.6855310455409381,1.0,2.0,6.0,2.0,5.0,16.0,0.11146044731140137,15.107565879821777
2.2233333587646484,0.5128635698793143,1.0,2.0,6.0,2.0,4.0,15.0,0.11943204700946808,15.308948516845703
2.236842155456543,0.6833213005583367,1.0,2.0,6.0,2.0,5.0,16.0,0.11823529750108719,15.169788360595703
2.2797203063964844,0.5543067115517697,1.0,2.0,6.0,2.0,5.0,16.0,0.11263691633939743,15.410066604614258
1.9354838132858276,0.7210537285164872,1.0,3.0,6.0,2.0,5.0,16.0,0.11137931048870087,14.824666976928711
2.7320261001586914,0.78002124846733,1.0,2.0,6.0,2.0,5.0,17.0,0.10679513216018677,14.802474021911621
1.76241135597229,0.5222314727252901,1.0,2.0,6.0,2.0,5.0,16.0,0.1124543622136116,15.368268966674805
2.2633228302001953,0.6086270824687674,1.0,2.0,6.0,2.0,5.0,16.0,0.11608519405126572,15.182391166687012
1.7906626462936401,0.5913391942377532,1.0,2.0,6.0,2.0,5.0,16.0,0.11324543505907059,15.189126014709473
0.25,0.787500060678906,1.0,1.5,3.25,1.0,2.0,5.5,0.00036511156940832734,7.625
1.715000033378601,0.6405951770445288,1.0,2.0,6.0,2.0,5.0,16.0,0.11375253647565842,15.037156105041504
1.7688679695129395,0.7497235227373683,1.0,2.0,6.0,2.0,5.0,16.0,0.11119675636291504,14.872259140014648
1.9425675868988037,0.5929995800681062,1.0,2.0,6.0,2.0,5.0,15.0,0.11979716271162033,15.311906814575195
